Aaien	Aaide	Geaaid
Aanbesterven	Aanbestierf	Aanbestorven
Aanschouwen	Aanschouwde	Aanschouwd
Abandonneren	Abandonneerde	Geabandonneerd
Abonneren	Abonneerde	Geabonneerd
Absenteren	Absenteerde	Geabsenteerd
Abstineren	Abstineerde	Geabstineerd
Accapareren	Accapareerde	Geaccapareerd
Acclimatiseren	Acclimatiseerde	Geacclimatiseerd
Accrediteren	Accrediteerde	Geaccrediteerd
Accrocheren	Accrocheerde	Geaccrocheerd
Achterwaren	Achterwaarde	Achterwaard
Acquireren	Acquireerde	Geacquireerd
Acquitteren	Acquitteerde	Geacquitteerd
Acteren	Acteerde	Geacteerd
Activeren	Activeerde	Geactiveerd
Adelen	Adelde	Geadeld
Aderiseren	Aderiseerde	Geaderiseerd
Admitteren	Admitteerde	Geadmitteerd
Adoniseren	Adoniseerde	Geadoniseerd
Adresseren	Adresseerde	Geadresseerd
Adsorberen	Adsorbeerde	Geadsorbeerd
Aerobiccen	Aerobicte	Geaerobict
Afficheren	Afficheerde	Geafficheerd
Affineren	Affineerde	Geaffineerd
Affirmeren	Affirmeerde	Geaffirmeerd
Afrikaniseren	Afrikaniseerde	Geafrikaniseerd
Agenderen	Agendeerde	Geagendeerd
Aggregeren	Aggregeerde	Geaggregeerd
Agioteren	Agioteerde	Geagioteerd
Agnosceren	Agnosceerde	Geagnosceerd
Akkeren	Akkerde	Geakkerd
Alfabetiseren	Alfabetiseerde	Gealfabetiseerd
Aligneren	Aligneerde	Gealigneerd
Alkaliseren	Alkaliseerde	Gealkaliseerd
Allitereren	Allitereerde	Geallitereerd
Allittereren	Allittereerde	Geallittereerd
Alloceren	Alloceerde	Gealloceerd
Alpineskiën	Alpineskiede	Gealpineskied
Altereren	Altereerde	Gealtereerd
Aluinen	Aluinde	Gealuind
Aluminiseren	Aluminiseerde	Gealuminiseerd
Amalgameren	Amalgameerde	Geamalgameerd
Amenderen	Amendeerde	Geamendeerd
Amerikaniseren	Amerikaniseerde	Geamerikaniseerd
Amplificeren	Amplificeerde	Geamplificeerd
Analyseren	Analyseerde	Geanalyseerd
Anatomiseren	Anatomiseerde	Geanatomiseerd
Annexeren	Annexeerde	Geannexeerd
Annoteren	Annoteerde	Geannoteerd
Anodiseren	Anodiseerde	Geanodiseerd
Anonimiseren	Anonimiseerde	Geanonimiseerd
Antecederen	Antecedeerde	Geantecedeerd
Antedateren	Antedateerde	Geantedateerd
Antichambreren	Antichambreerde	Geantichambreerd
